code,Date,Temperature (°C),Humidite_relative (%),Temperature_ressentie (°C),Probabilite_pluie (%),Precipitation (mm),Pression (0m)(hPa),Couverture_nuageuse (%),Visibility (m),Vitesse_vent (km/h),Index_UV,Air_quality (pm2.5),River_discharge (m3/s),Probabilité sècheresse,Probabilité canicule (%),Probabilité innondation,Indice,Etat_meteo
50,2023-04-28,9.6,97,8.9,0,0.0,1018.7,52,24140.0,3.3,0.0,5.4,21.54,0.0,0,0.17341726995128612,35.96684954915999,Night
53,2023-04-28,10.7,95,9.7,0,0.0,1018.1,62,24140.0,7.3,0.0,4.9,1.31,0.0,0,0.2605853342991833,67.77521623941036,Foggy
54,2023-04-28,10.4,91,7.8,0,0.0,1015.8,100,24140.0,15.6,0.0,5.0,125.77,0.0,0,0.2693342398618435,14.44611348145919,Night
56,2023-04-28,10.3,97,9.3,3,0.0,1018.4,97,24140.0,6.9,0.0,4.9,1.5899999999999999,0.0,0,0.2595867878042154,53.02508207444203,Foggy
57,2023-04-28,12.2,89,10.9,16,0.0,1015.1,100,24140.0,10.0,0.0,6.8,3.69,0.0,0,0.24977640232913384,40.052498606320256,Night
59,2023-04-28,10.6,91,9.2,0,0.0,1016.6,77,24140.0,7.7,0.0,11.3,3.41,0.0,0,0.25117407067721714,67.42238748065894,Foggy
64,2023-04-28,14.6,92,14.9,16,0.0,1016.2,100,24140.0,4.6,0.0,9.6,62.24,0.0,0,0.0018847633035350322,67.93423283669799,Foggy
65,2023-04-28,15.3,94,14.5,6,0.0,1015.9,100,24140.0,15.1,0.0,9.0,2.0,0.0,0,0.25738494085245733,63.43277074786654,Foggy
66,2023-04-28,14.4,95,14.7,0,0.0,1016.8,100,24140.0,5.5,0.0,7.9,15.07,0.0,0,0.2009715150598367,64.94391749470891,Foggy
67,2023-04-28,13.8,87,13.5,58,0.0,1014.2,100,24140.0,5.7,0.0,5.9,1.62,0.0,0,0.2585934343445108,44.582597726502506,Night
68,2023-04-28,13.7,82,13.7,94,0.0,1014.7,100,24140.0,1.1,0.0,5.2,2.7199999999999998,0.0,0,0.2536756299499008,59.893741785876756,Night
69,2023-04-28,15.2,95,16.1,100,0.5,1015.9,100,13620.0,3.1,0.0,4.3,1.22,13.966480446927374,0,0.2605608528472268,32.78771671631085,Foggy
71,2023-04-28,15.6,96,16.7,100,0.0,1015.7,100,24140.0,3.8,0.0,6.6,1.34,0.0,0,0.26042360834383127,52.90178037747811,Night
73,2023-04-28,5.4,90,1.0,71,1.4,1017.9,100,16020.0,20.4,0.0,3.4,40.59,56.91056910569105,0,0.09018181702227897,53.216591148864254,Foggy
74,2023-04-28,14.2,95,14.2,100,3.4,1016.6,100,24140.0,7.1,0.0,3.9,4.31,130.76923076923077,0,0.2455151459642765,32.67141065785298,Night
75,2023-04-28,12.6,86,11.6,0,0.0,1017.1,100,24140.0,7.4,0.0,11.9,442.61,0.0,0,1.3836453606501216,46.91475038755301,Foggy
76,2023-04-28,9.7,96,8.5,0,0.0,1017.8,100,24140.0,6.6,0.0,5.5,3.44,0.0,0,0.2515041993475445,66.02995437777062,Foggy
77,2023-04-28,11.6,91,10.2,0,0.0,1016.9,100,24140.0,10.3,0.0,9.3,1.69,0.0,0,0.2585830482739829,39.44682098252705,Night
80,2023-04-28,10.3,97,8.4,0,0.0,1017.1,92,24140.0,12.5,0.0,6.6,1.72,0.0,0,0.2590237144092073,36.509778139181265,Night
82,2023-04-28,16.2,90,16.7,0,0.0,1015.1,100,24140.0,6.6,0.0,7.8,1.53,0.0,0,0.2591105122843273,51.95160039157096,Foggy
83,2023-04-28,16.9,63,15.8,0,0.0,1015.8,100,24140.0,7.3,0.0,7.0,6.91,0.0,0,0.23624186870788524,34.75712373261745,Night
84,2023-04-28,15.1,74,15.0,0,0.0,1017.4,100,24140.0,1.3,0.0,9.0,0.03,0.0,0,0.2653569918442311,31.799006865085282,Night
85,2023-04-28,14.5,95,14.5,23,0.0,1017.3,100,24140.0,8.6,0.0,7.1,0.81,0.0,0,0.2626395506770193,28.01193871699896,Night
87,2023-04-28,15.4,83,15.4,61,0.0,1016.1,100,2740.0,5.4,0.0,4.5,1.16,0.0,0,0.2604213827572906,59.032103956597695,Night
88,2023-04-28,13.3,92,13.3,42,0.0,1015.3,100,24140.0,4.6,0.0,4.7,36.76,0.0,0,0.10727580538561997,54.61768856801397,Foggy
90,2023-04-28,12.8,97,12.7,87,0.0,1015.5,93,23840.0,5.3,0.0,6.6,1.62,0.0,0,0.2593679384609645,64.44718873998893,Night
91,2023-04-28,11.5,91,10.4,0,0.0,1017.2,100,24140.0,7.6,0.0,10.1,6.59,0.0,0,0.2373776597062487,57.19528520835543,Foggy
